stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,location_accuracy,date_opened,date_opened_min,date_opened_max,date_precision,date_closed
n00032,"Node (42.655,-73.745)",42.655374,-73.744714,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00033,"Node (42.651,-73.739)",42.651109,-73.738504,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00034,"Node (43.073,-76.174)",43.073163,-76.173952,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00035,"Node (43.061,-76.189)",43.061009,-76.189005,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00036,"Node (43.060,-77.090)",43.060163,-77.090296,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00037,"Node (43.057,-76.988)",43.056718,-76.987834,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00038,"Node (43.167,-77.599)",43.166635,-77.598803,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00039,"Node (43.151,-77.653)",43.151311,-77.652606,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00040,"Node (43.149,-77.665)",43.149411,-77.664905,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00041,"Node (43.105,-77.447)",43.105046,-77.447207,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00042,"Node (43.107,-77.819)",43.107011,-77.818805,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00043,"Node (42.989,-78.222)",42.98907,-78.221872,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00044,"Node (42.253,-71.808)",42.253209,-71.807999,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00045,"Node (42.041,-71.888)",42.040551,-71.887551,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00046,"Node (42.024,-71.883)",42.024309,-71.883211,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00047,"Node (41.988,-71.896)",41.987756,-71.895585,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00048,"Node (41.681,-71.921)",41.681279,-71.921212,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00049,"Node (41.521,-72.081)",41.521008,-72.081201,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00050,"Node (42.723,-73.691)",42.723107,-73.6914,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00051,"Node (42.810,-73.285)",42.810299,-73.285476,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00052,"Node (42.745,-73.214)",42.745027,-73.213898,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00053,"Node (41.830,-71.028)",41.829633,-71.02813,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00054,"Node (41.872,-71.068)",41.872159,-71.067597,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00055,"Node (41.665,-70.938)",41.665307,-70.937501,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00056,"Node (41.647,-70.926)",41.647008,-70.926003,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00057,"Node (42.156,-72.330)",42.156026,-72.33043,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00058,"Node (42.128,-72.562)",42.128308,-72.562104,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00059,"Node (42.103,-72.598)",42.103127,-72.597566,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00060,"Node (42.344,-73.089)",42.344243,-73.089264,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00061,"Node (42.130,-72.747)",42.129807,-72.746698,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
